num decayed parameter tensors: 39, with 27,803,136 parameters
num non-decayed parameter tensors: 22, with 11,776 parameters
using fused AdamW: True
step 1640: loss 0.4896, 0.997s
step 1650: loss 0.4826, 1.198s
step 1660: loss 0.4816, 1.193s
step 1670: loss 0.4797, 1.087s
step 1680: loss 0.4806, 1.120s
step 1690: loss 0.4924, 1.088s
step 1700: loss 0.4826, 1.128s
step 1710: loss 0.4786, 1.207s
step 1720: loss 0.4831, 0.927s
step 1730: loss 0.4690, 1.043s
step 1740: loss 0.4764, 1.144s
step 1750: loss 0.4967, 0.992s
step 1760: loss 0.4768, 1.251s
step 1770: loss 0.4758, 1.086s
step 1780: loss 0.4574, 1.192s
step 1790: loss 0.4662, 1.191s
step 1800: loss 0.4610, 1.085s
step 1810: loss 0.4683, 1.142s
step 1820: loss 0.4717, 0.917s
step 1830: loss 0.4662, 1.015s
step 1840: loss 0.4659, 1.216s
step 1850: loss 0.4661, 1.143s
step 1860: loss 0.4855, 1.070s
step 1870: loss 0.4778, 1.121s
step 1880: loss 0.4685, 1.160s
step 1890: loss 0.4613, 1.156s
step 1900: loss 0.4768, 1.055s
step 1910: loss 0.4705, 1.217s
step 1920: loss 0.4728, 1.037s
step 1930: loss 0.4809, 1.131s
step 1940: loss 0.4634, 1.073s
step 1950: loss 0.4712, 1.173s
step 1960: loss 0.4692, 1.085s
step 1970: loss 0.4672, 1.061s
step 1980: loss 0.4701, 1.109s
step 1990: loss 0.4569, 1.156s
step 2000: loss 0.4663, 1.099s
step 2000: train 0.4566, val 0.4526, accuracy 0.833
step 2010: loss 0.4595, 1.141s
step 2020: loss 0.4677, 1.007s
step 2030: loss 0.4722, 1.061s
step 2040: loss 0.4618, 1.154s
step 2050: loss 0.4516, 1.154s
step 2060: loss 0.4582, 1.030s
step 2070: loss 0.4599, 1.153s
step 2080: loss 0.4550, 1.066s
step 2090: loss 0.4552, 1.020s
step 2100: loss 0.4611, 1.249s
step 2110: loss 0.4555, 1.019s
step 2120: loss 0.4563, 1.148s
step 2130: loss 0.4486, 1.027s
step 2140: loss 0.4463, 1.156s
step 2150: loss 0.4828, 0.910s
step 2160: loss 0.4460, 1.176s
step 2170: loss 0.4661, 1.158s
step 2180: loss 0.4411, 1.107s
step 2190: loss 0.4574, 1.307s
step 2200: loss 0.4519, 1.045s
step 2210: loss 0.4455, 1.198s
step 2220: loss 0.4561, 1.075s
step 2230: loss 0.4597, 1.001s
step 2240: loss 0.4441, 1.077s
step 2250: loss 0.4470, 1.096s
step 2260: loss 0.4368, 1.173s
step 2270: loss 0.4488, 0.967s
step 2280: loss 0.4493, 1.151s
step 2290: loss 0.4597, 0.997s
step 2300: loss 0.4503, 1.128s
step 2310: loss 0.4475, 1.181s
step 2320: loss 0.4424, 1.103s
step 2330: loss 0.4488, 1.053s
step 2340: loss 0.4302, 1.213s
step 2350: loss 0.4422, 1.101s
step 2360: loss 0.4455, 1.213s
step 2370: loss 0.4360, 1.154s
step 2380: loss 0.4520, 1.022s
step 2390: loss 0.4492, 1.152s
step 2400: loss 0.4547, 1.081s
step 2410: loss 0.4467, 1.221s
step 2420: loss 0.4525, 1.297s
step 2430: loss 0.4443, 1.140s
step 2440: loss 0.4478, 1.037s
step 2444: train 0.4402, val 0.4366, accuracy 0.839
num decayed parameter tensors: 39, with 27,803,136 parameters
num non-decayed parameter tensors: 22, with 11,776 parameters
using fused AdamW: True
step 0: train 3.8537, val 3.8551, accuracy 0.007
step 1: loss 3.7703, 1.779s
step 10: loss 2.7259, 1.248s
step 20: loss 2.0334, 1.018s
step 30: loss 1.8375, 1.070s
step 40: loss 1.7640, 1.061s
step 50: loss 1.6669, 1.170s
step 60: loss 1.5986, 1.189s
step 70: loss 1.5542, 1.062s
step 80: loss 1.5379, 1.201s
step 90: loss 1.5134, 1.016s
step 100: loss 1.4570, 1.162s
step 110: loss 1.4815, 1.005s
step 120: loss 1.4447, 1.031s
step 130: loss 1.4009, 1.191s
step 140: loss 1.4322, 0.870s
step 150: loss 1.3715, 1.110s
step 160: loss 1.3061, 1.199s
step 170: loss 1.3571, 1.037s
step 180: loss 1.2982, 1.169s
step 190: loss 1.2799, 1.072s
step 200: loss 1.2066, 1.246s
step 210: loss 1.2092, 1.089s
step 220: loss 1.2141, 1.003s
step 230: loss 1.1800, 1.100s
step 240: loss 1.1777, 1.146s
step 250: loss 1.1334, 1.227s
step 260: loss 1.2178, 1.031s
step 270: loss 1.1659, 1.173s
step 280: loss 1.1751, 0.997s
step 290: loss 1.1257, 0.987s
step 300: loss 1.0908, 1.126s
step 310: loss 1.1317, 1.002s
step 320: loss 1.0834, 1.128s
step 330: loss 1.0888, 0.995s
step 340: loss 1.0760, 1.184s
step 350: loss 1.0618, 1.088s
step 360: loss 1.0555, 1.128s
step 370: loss 1.0391, 1.107s
step 380: loss 1.0056, 1.102s
step 390: loss 1.0207, 0.956s
step 400: loss 0.9982, 1.207s
